player_id,web_name,team,position,predicted_points,actual_points,error,expected_minutes,actual_minutes
627,Barcola,LIV,MID,1.04,3,-1.96,26.0,71
320,Akpom,IPS,FWD,1.01,0,1.01,19.8,0
640,Flemming,IPS,FWD,1.01,5,-3.99,24.0,27
439,Šeško,MUN,FWD,1.0,1,0.0,17.5,23
195,Simms,COV,FWD,0.97,0,0.97,24.1,0
638,Norton-Cuffy,HUL,DEF,0.96,0,0.96,26.0,8
90,Hickey,BRE,DEF,0.95,1,-0.05,24.3,70
643,Chilwell,CRY,DEF,0.95,1,-0.05,16.0,13
462,Steur,NEW,MID,0.94,2,-1.06,24.3,71
583,Chavarria,CHE,DEF,0.94,1,-0.06,25.0,45
313,Clarke,IPS,MID,0.91,1,-0.09,15.2,62
585,Herrington,HUL,DEF,0.91,1,-0.09,24.4,31
577,Tomiyasu,CRY,DEF,0.9,0,0.9,27.4,53
162,Andrey Santos,MUN,MID,0.87,0,0.87,20.7,0
415,Dorgu,MUN,MID,0.83,4,-3.17,22.4,90
422,Mazraoui,MUN,DEF,0.83,0,0.83,23.6,0
201,Muñoz,NFO,DEF,0.81,2,-1.19,26.2,90
241,McNeil,CRY,MID,0.81,0,0.81,20.9,0
512,Kudus,TOT,MID,0.81,1,-0.19,20.3,27
369,Ngumoha,LIV,MID,0.78,1,-0.22,19.9,18
649,Maitland-Niles,EVE,DEF,0.78,6,-5.22,13.0,74
347,Nmecha,LEE,FWD,0.77,1,-0.23,14.5,12
19,Zubimendi,ARS,MID,0.73,1,-0.27,17.0,9
255,J.Cuenca,FUL,DEF,0.72,0,0.72,20.1,0
488,I.Sangaré,NFO,MID,0.72,1,-0.28,20.1,8
498,Senesi,TOT,DEF,0.72,0,0.72,20.1,0
125,Georginio,BHA,FWD,0.69,0,0.69,15.1,0
14,Eze,ARS,MID,0.68,1,-0.32,17.5,9
646,Fofana,SUN,MID,0.66,1,-0.34,16.0,14
269,Sessegnon,FUL,DEF,0.64,0,0.64,15.9,0
17,Merino,ARS,MID,0.61,1,-0.39,15.1,5
421,Heaven,MUN,DEF,0.61,0,0.61,20.1,0
52,Alysson,AVL,MID,0.6,6,-5.4,14.7,45
84,Collins,BRE,DEF,0.6,0,0.6,14.1,0
29,M.Bizot,AVL,GKP,0.59,0,0.59,20.1,0
42,Guessand,CRY,MID,0.58,0,0.58,14.7,0
490,Wood,NFO,FWD,0.58,1,-0.42,13.6,1
123,Hinshelwood,BHA,MID,0.57,0,0.57,7.0,0
526,Solanke,TOT,FWD,0.57,2,-1.43,12.5,62
323,McAteer,IPS,MID,0.56,0,0.56,12.6,0
592,Ouattara,IPS,DEF,0.55,1,-0.45,13.2,2
